File,Orig_ZSTD,Orig_ZSTD+ByteGrouping,Orig_ZipNN,XorOrig_ZSTD,Rearranged_ZSTD,Rearranged_ZSTD+ByteGrouping,Rearranged_ZipNN,XorRearr_ZSTD
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.final_layernorm.weight/master_weight.safetensors,0.7887472176521824,0.6804413045582115,0.6742112648795122,0.7455724378205748,0.7937639957160939,0.6176005257521177,0.6646748125791062,0.7499146341463415
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.final_layernorm.weight/momentum.safetensors,0.9241386818929643,0.9076744411110036,0.8439949675795994,0.9434336591502952,0.9300335897186253,0.9154780449810145,0.8413737708110213,0.9494146341463414
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.final_layernorm.weight/variance.safetensors,0.9031742959450305,0.8190385173715281,0.7919771605535663,0.9050977450885512,0.9087601012559634,0.8275971180995034,0.8068591179047805,0.9107560975609756
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.final_layernorm.weight/weight.safetensors,0.3525757866462011,0.25875383729854184,0.3434861857252494,0.2600748416810593,0.2466504854368932,0.2004611650485437,0.32973300970873787,0.2405945419103314
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc1.layer_norm_weight/master_weight.safetensors,0.8205748572534598,0.7269428046066002,0.6779250943578825,0.8183126875060486,0.8256742284100866,0.7309901664881706,0.71145701489631,0.8232439024390243
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc1.layer_norm_weight/momentum.safetensors,0.9309735797928965,0.8999443530436466,0.8379584825316946,0.9492161037452821,0.9367150228799532,0.9367150228799532,0.8578765456138643,0.9552560975609756
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc1.layer_norm_weight/variance.safetensors,0.9134084970482919,0.8154698538662537,0.7942877189586761,0.9110253556566341,0.9189952292863401,0.831649790672768,0.8254064842761172,0.9167439024390244
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc1.layer_norm_weight/weight.safetensors,0.40217287029930926,0.36447141212586337,0.3510408672294705,0.3747361350988294,0.3363349514563107,0.2987135922330097,0.42225728155339803,0.3567982456140351
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc1.weight/master_weight.safetensors,0.9186724795061713,0.833450129062739,0.8446737730059365,,,,,
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc1.weight/momentum.safetensors,0.9327445215709913,0.8605925420064438,0.8417945564850463,0.9442672433555056,0.9452131251640403,0.8717583555120023,0.8596795249652335,0.9561006305444419
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc1.weight/variance.safetensors,0.8964675879701766,0.8029934947353099,0.7957084867941404,0.8953682245567226,0.9234788979433132,0.7939183064541996,0.8299334419526949,0.9154730302901983
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc1.weight/weight.safetensors,0.7815213984364967,0.7133195542289207,0.6625872686998486,0.6441468717977766,0.7264485643946413,0.6198534037690733,0.6626695346905882,0.675310654191427
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc2.weight/master_weight.safetensors,0.9262317333066111,0.8557852058065079,0.832049596012802,0.8962547405932558,0.9266413368312297,0.8250632523473186,0.8324919492956474,0.9082404633849286
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc2.weight/momentum.safetensors,0.9310692353935385,0.8622082707552566,0.839683681151586,0.9430366684849295,0.9443141772795233,0.8715195637875738,0.8580087476024969,0.9565872123454192
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc2.weight/variance.safetensors,0.8914788580761791,0.7994760696913721,0.7891623352420484,0.8921228608827227,0.9260181682869414,0.8022018116246454,0.8321071535306437,0.9163255650964818
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.mlp.linear_fc2.weight/weight.safetensors,0.7810986967966546,0.7115302181704555,0.6638927885479138,0.7108576363435315,0.7626455602874234,0.6500866395332834,0.6647484089464496,0.7420156349552983
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_proj.weight/master_weight.safetensors,0.9270252707610491,0.8565763587834001,0.831894995228792,0.9091098518913266,0.9276487739200227,0.8333745339877564,0.8330249532795665,0.9199102821820686
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_proj.weight/momentum.safetensors,0.9295902063492639,0.8597314249995279,0.8372741377064289,0.9409840940817756,0.9414257585704673,0.8690728397211613,0.8529688575266151,0.9554479057823675
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_proj.weight/variance.safetensors,0.8880145415987734,0.7799131521882803,0.7864649921312737,0.8874076204288956,0.922329955598899,0.7985569332207745,0.8275515743899164,0.9126553635974407
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_proj.weight/weight.safetensors,0.7825366188162237,0.7131363899748481,0.6635894450682471,0.74187880464595,0.7749347879492555,0.6667464532006738,0.6659287395744642,0.7715726864529084
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_qkv.layer_norm_weight/master_weight.safetensors,0.8229942901383915,0.7323260427755734,0.675033872060389,0.827518629633214,0.8282056274948886,0.7366979846168825,0.6931043715314964,0.8324634146341463
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_qkv.layer_norm_weight/momentum.safetensors,0.9264129488048002,0.8873270105487274,0.8291033581728443,0.9449337075389529,0.9323337552331808,0.9273683185668387,0.851694090156752,0.9509268292682926
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_qkv.layer_norm_weight/variance.safetensors,0.9118237685086615,0.8137399593535275,0.7932836543114294,0.9111947159585793,0.9174009346704313,0.8380513095122188,0.8235322753383312,0.9168780487804878
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_qkv.layer_norm_weight/weight.safetensors,0.4384593246354566,0.38524079048349963,0.3452369531849578,0.4137881404720783,0.3699029126213592,0.3427669902912621,0.38558252427184464,0.3939814814814815
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_qkv.weight/master_weight.safetensors,0.9252293046279986,0.855649336235889,0.8314013389087156,0.8834933649020172,0.9252441011617781,0.816261172368407,0.8314196629456009,0.8953826511031919
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_qkv.weight/momentum.safetensors,0.9273298183078764,0.8583523465195001,0.8347567824801433,0.9407909951685354,0.9398206023492929,0.8681993042250039,0.8520576395059511,0.9560508566449575
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_qkv.weight/variance.safetensors,0.891867920073331,0.7984931813200323,0.794236461464393,0.8921032348258363,0.9236073961983255,0.7966572683170225,0.8288644131237471,0.9165499495339482
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.0.self_attention.linear_qkv.weight/weight.safetensors,0.7792431035355861,0.7113059088474195,0.6625976555204665,0.678187508968482,0.7433158346460117,0.6325060887274794,0.6625738914055975,0.707006088032183
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.experts.experts.linear_fc1.weight/master_weight.safetensors,0.9266839863927027,0.8568921071429229,0.8314524524193002,0.8760220012916478,0.9267150885237359,0.8129253176388224,0.8315472663445582,0.888255852855978
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.experts.experts.linear_fc1.weight/momentum.safetensors,0.9353064483563748,0.8620735802430807,0.8457336707656461,0.9434711037345106,0.9385304354962953,0.867594635009428,0.8510597779886437,0.9531040447088022
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.experts.experts.linear_fc1.weight/variance.safetensors,0.9101599232968682,0.804046182053004,0.8144329162623567,0.9006282690043453,0.9221721362354103,0.7981188008254656,0.8304205616610275,0.9141973970661535
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.experts.experts.linear_fc1.weight/weight.safetensors,0.7820808486155849,0.7137763316029833,0.6626649321005537,0.6591335788563225,0.7337665021806472,0.625834875049861,0.6629196120919453,0.688200371568632
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.experts.experts.linear_fc2.weight/master_weight.safetensors,0.9268501578810343,0.8570058396668092,0.8333771334850025,0.9023185393846772,0.9279476541039374,0.8288107738161569,0.8350908568685723,0.9124235022754469
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.experts.experts.linear_fc2.weight/momentum.safetensors,0.9374569346335286,0.8688271356819753,0.8483216217355442,0.9445607903334327,0.9419840504251028,0.8704488411818724,0.8544959736700848,0.9546380962826783
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.experts.experts.linear_fc2.weight/variance.safetensors,0.9156271270219634,0.781830877975387,0.819798082897035,0.9019118897266092,0.9297690068511776,0.7977137511973449,0.8378390852443849,0.91527398180635
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.experts.experts.linear_fc2.weight/weight.safetensors,0.7824358437328205,0.7139908077609494,0.666504361994706,0.7278669519880347,0.7728448678062598,0.6575994554957866,0.6699521875198924,0.7544355702968266
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.router.weight/master_weight.safetensors,0.9255606342386985,0.8479488926148386,0.8307326271658354,0.8801471250093446,0.9259128506298521,0.8145804343049656,0.8312071248962453,0.8936900148007996
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.router.weight/momentum.safetensors,0.928980926459617,0.8634852386786135,0.837147939700639,0.9406772388372799,0.935169715223866,0.8643157453859674,0.845707225599336,0.9529630208889635
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.router.weight/variance.safetensors,0.8951683771624027,0.8093998059387029,0.7959799027557619,0.8949866354012355,0.9139402449221229,0.8013179516991358,0.818010251879791,0.9143716526542258
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.router.weight/weight.safetensors,0.7797352645066813,0.6937633473671365,0.6611664073463909,0.667905814588488,0.7424834686659892,0.6292445935595693,0.6621630796647046,0.7013183191430925
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.shared_experts.linear_fc1.weight/master_weight.safetensors,0.9262417496707099,0.856490382585496,0.8314114072306652,0.8737910250191823,0.9262790330378956,0.8126268386137037,0.8315286682490022,0.8870024723221658
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.shared_experts.linear_fc1.weight/momentum.safetensors,0.9313037263331644,0.860235331003864,0.8400162187616549,0.9427306759115796,0.9408851756472913,0.8695931204539238,0.8538202186541645,0.9545876784677598
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.shared_experts.linear_fc1.weight/variance.safetensors,0.8986348594110718,0.8057511403018901,0.7994059300813435,0.8992351420726692,0.9226095845741497,0.7967393008898366,0.8290608465897458,0.9164505055868745
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.shared_experts.linear_fc1.weight/weight.safetensors,0.7811816619027633,0.7129871094575115,0.6625687288855122,0.6533426283292388,0.732516789331011,0.6252369357860931,0.6628436622273812,0.6865754759587293
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.shared_experts.linear_fc2.weight/master_weight.safetensors,0.9261120745882881,0.8556732858236532,0.8320564447889836,0.8999727744341889,0.9274064176037402,0.8279364674666332,0.8333772687713414,0.9119952580903543
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.shared_experts.linear_fc2.weight/momentum.safetensors,0.9290060448160053,0.8597018338013371,0.8367582062847387,0.9423076883062766,0.9418383463486035,0.8695016488490447,0.8536062261269575,0.9552981460474325
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.shared_experts.linear_fc2.weight/variance.safetensors,0.8939811472471791,0.7991149016498434,0.7928815232639482,0.8967248233004166,0.9257113890989668,0.8039286708582976,0.8322846149754028,0.9196552409706931
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.mlp.shared_experts.linear_fc2.weight/weight.safetensors,0.7807522853683299,0.7112995652109381,0.6639017019389478,0.719659705472837,0.7678971413554435,0.6558491889139317,0.6665277599758967,0.7527084503317432
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.pre_mlp_layernorm.weight/master_weight.safetensors,0.815748088648021,0.7023855608245427,0.6740177102487177,0.7792388464144004,0.8207818128711908,0.6991772952974394,0.7021833317106416,0.7838536585365854
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.pre_mlp_layernorm.weight/momentum.safetensors,0.9322921707151843,0.9037549598374142,0.8396520855511468,0.947377334752734,0.9382241261805082,0.9111697984616882,0.8539699152954922,0.9534024390243903
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.pre_mlp_layernorm.weight/variance.safetensors,0.9098398335430176,0.8110422916868286,0.788795606309881,0.911630213877867,0.9154780449810145,0.8285463927563042,0.820282835166975,0.9172682926829269
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.pre_mlp_layernorm.weight/weight.safetensors,0.3751438986953185,0.31134881043745205,0.34322237145049883,0.32635290731145655,0.3291747572815534,0.2858980582524272,0.40393203883495143,0.32858187134502925
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_proj.weight/master_weight.safetensors,0.9266728958762763,0.8560881396522959,0.8318300503423005,0.9001977695770687,0.9281102800593871,0.8284383828626513,0.8331383449827652,0.9127842108904686
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_proj.weight/momentum.safetensors,0.9278736073804094,0.8572651107486744,0.8348453503466684,0.940387353332798,0.9409117587005482,0.8698165853438029,0.8540195487200948,0.9578365368269965
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_proj.weight/variance.safetensors,0.8787740811061497,0.7909966264898461,0.7720647688868026,0.8841186709491509,0.9210629296773076,0.79523917090161,0.8247027032143353,0.9179431868851158
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_proj.weight/weight.safetensors,0.7819999082574581,0.7121313108521509,0.6634114793189232,0.7193891700292889,0.7683020867665504,0.6568422061013608,0.6660499512101709,0.7547315071061537
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_qkv.layer_norm_weight/master_weight.safetensors,0.8138851253266235,0.7062445562760089,0.644573212039098,0.7822026516984418,0.8189319443092201,0.7195258494791159,0.6679242527504625,0.7868658536585366
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_qkv.layer_norm_weight/momentum.safetensors,0.9324010451950063,0.9016863447207975,0.8414303687215716,0.9491314235943095,0.9383214876837699,0.9343661766137669,0.8560875279914322,0.9552073170731707
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_qkv.layer_norm_weight/variance.safetensors,0.9121503919481273,0.8209861608438982,0.7962232652666215,0.9174247556372787,0.917741699931847,0.8353373576088015,0.8238973809755623,0.9231951219512196
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_qkv.layer_norm_weight/weight.safetensors,0.37783000767459707,0.318783576362241,0.28431983883346124,0.3176453655728267,0.29774271844660194,0.25516990291262137,0.3354611650485437,0.30458089668615984
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_qkv.weight/master_weight.safetensors,0.9261111398978966,0.8564348366605118,0.8312864213545108,0.8722000131288935,0.9261806327060025,0.8125958561409728,0.8314311189524999,0.8857494236112649
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_qkv.weight/momentum.safetensors,0.9285285808540361,0.859292639935964,0.8363620142170339,0.9412824167241122,0.9416630405868324,0.8691497057630129,0.8542162802231953,0.957085229509075
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_qkv.weight/variance.safetensors,0.8912741873238785,0.8010972659476716,0.7923306956867134,0.8933609144735242,0.9187570329471421,0.7944380295750786,0.8234790169981552,0.9172791208414979
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.1.self_attention.linear_qkv.weight/weight.safetensors,0.780970758156105,0.7128736089872945,0.6623252552731096,0.6494906752582684,0.7300871018477357,0.6251826999713135,0.6626398538120485,0.6840287121354474
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.10.mlp.experts.experts.linear_fc1.weight/master_weight.safetensors,0.9270568827127336,0.8564671005172168,0.8312556681033386,0.9000367881063616,0.9276776183798305,0.8254170841174973,0.8319429577322887,0.9097097996246772
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.10.mlp.experts.experts.linear_fc1.weight/momentum.safetensors,0.9282328686659918,0.8576409283760744,0.8350531290925833,0.9379918461187026,0.9279986835344507,0.8583790375690524,0.8351996579297084,0.9466669640550089
/mnt/sda1/yxz/Flame-moe/extracted_containers_all/decoder.layers.10.mlp.experts.experts.linear_fc1.weight/variance.safetensors,0.884761421852586,0.7783888043771542,0.7824582243425445,0.8640568228712995,0.8806656224148026,0.7769088176093367,0.7802899977702608,0.877436019872104
